# Bundle: CC_Sensory_Comm
# type  name  label
incs1  CC_isth_FS  252
incs1  CC_splen_FS  251

incs2  S1_GM_FS_LT  1022

incs3  S1_GM_FS_RT  2022

excs  AC_MAN  1
excs  PC_MAN  2
excs  CC_genu_FS  255
excs  CC_ant_FS  254
excs  CC_mid_FS  253
excs  Fornix_Fx  250
excs  cMFG_GM_LT_FS  1003
excs  cMFG_GM_RT_FS  2003
excs  SFG_GM_LT_FS  1028
excs  SFG_GM_RT_FS  2028
excs  M1_GM_FS_LT  1024
excs  M1_GM_FS_RT  2024
excs  BStem_FS  16
excs  Occ_lobeGM_LT  1004
excs  Occ_lobeGM_RT  2004
excs  Cing_lobeGM_LT  1003
excs  Cing_lobeGM_RT  2003
