# Bundle: CC_Temporal_Comm
# type  name  label
incs1  CC_splen_FS  251

incs2  ITG_GM_LT_FS  1009
incs2  MTG_GM_LT_FS  1015
incs2  STG_GM_LT_FS  1030
incs2  TempP_GM_LT_FS  1033

incs3  ITG_GM_RT_FS  2009
incs3  MTG_GM_RT_FS  2015
incs3  STG_GM_RT_FS  2030
incs3  TempP_GM_RT_FS  2033

excs  AC_MAN  1
excs  PC_MAN  2
excs  CC_genu_FS  255
excs  CC_ant_FS  254
excs  CC_mid_FS  253
excs  CC_midpost_FS  252
excs  Fornix_Fx  250
excs  Front_lobeGM_LT  1001
excs  Front_lobeGM_RT  2001
excs  Pari_lobeGM_LT  1006
excs  Pari_lobeGM_RT  2006
excs  Occ_lobeGM_LT  1004
excs  Occ_lobeGM_RT  2004
excs  BStem_FS  16
excs  Cing_lobeGM_LT  1003
excs  Cing_lobeGM_RT  2003
excs  Thal_FS_LT  10
excs  Thal_FS_RT  49
excs  Phippo_GM_LT_FS  1016
excs  Phippo_GM_RT_FS  2016
excs  Phippo_WM_LT_FS  3016
excs  Phippo_WM_RT_FS  4016
excs  Hippo_LT_FS  17
excs  Hippo_RT_FS  53
excs  Amyg_FS_LT  18
excs  Amyg_FS_RT  54
