# Bundle: IFOF_LT
# type  name  label
incs1  SPL_GM_LT_FS  1029
incs1  IPL_GM_LT_FS  1008
incs1  Occ_lobeGM_LT  1004
incs1  Pc_GM_LT_FS  1025
incs1  Fusi1_LT_MSBP  208
incs1  Fusi2_LT_MSBP  209

incs2  rMFG5_LT_MSBP  141
incs2  rMFG6_LT_MSBP  142
incs2  FP_GM_LT_FS  1032
incs2  IFGpTr_GM_LT_FS  1020
incs2  MedOF1_LT_MSBP  131
incs2  LatOF_GM_LT_FS  1012

excs  CC_allr_custom  1
excs  BStem_FS  16
excs  STG5_GMWM_LT_custom  1
excs  e2Put_LT_custom  1
excs  Phippo_GM_LT_FS  1016
excs  Phippo_WM_LT_FS  3016
excs  Cing_lobeGM_LT  1003
excs  Cing_lobeWM_LT  3003
excs  SFG_GM_LT_FS  1028
excs  SFG_WM_LT_FS  3028
excs  M1_GM_LT_FS  1024
excs  M1_WM_LT_FS  3024
excs  TempP_GM_LT_FS  1033
excs  TempP_WM_LT_FS  3033
excs  ITG_GM_LT_FS  1009
excs  AC_midL_MAN  1
excs  Acc_GM_LT_FS  26
excs  Pall_GM_LT_FS  13
excs  Amyg_GM_LT_FS  18
excs  Thal_GM_LT_FS  10
excs  Hippo_GM_LT_FS  17
excs  vDC_LT_FS  28
excs  caudate_LT_FS  11
excs  OptCh_FS  85
excs  SegWM_LT_MPV_custom  1
excs  SegWM_LT_PLIC_custom  1
excs  SegWM_LT_ALIC_custom  1
excs  Ins_supL_wm_LT_custom  1
excs  cMFG_GM_LT_FS  1003
excs  cMFG_WM_LT_FS  3003
excs  IFGpOp_GM_LT_FS  1018
excs  IFGpOp_WM_LT_FS  3018
excs  Fusi4_GMWM_LT_custom  1
excs  TempP_GM_FS_LT  1033
excs  TempP_WM_FS_LT  3033
excs  ITG_GM_FS_LT  1009
excs  ITG_WM_FS_LT  3009
excs  MedOF2_LT_MSBP  132
excs  MedOF3_LT_MSBP  133
