# Bundle: IFOF_RT
# type  name  label
incs1  SPL_GM_RT_FS  2029
incs1  IPL_GM_RT_FS  2008
incs1  Occ_lobeGM_RT  2004
incs1  Pc_GM_RT_FS  2025
incs1  Fusi1_RT_MSBP  84
incs1  Fusi2_RT_MSBP  85

incs2  rMFG5_RT_MSBP  18
incs2  rMFG6_RT_MSBP  19
incs2  FP_GM_RT_FS  2032
incs2  IFGpTr_GM_RT_FS  2020
incs2  MedOF1_RT_MSBP  7
incs2  LatOF_GM_RT_FS  2012

excs  CC_allr_custom  1
excs  BStem_FS  16
excs  STG5_GMWM_RT_custom  1
excs  e2Put_RT_custom  1
excs  Phippo_GM_RT_FS  2016
excs  Phippo_WM_RT_FS  4016
excs  Cing_lobeGM_RT  2003
excs  Cing_lobeWM_RT  4003
excs  SFG_GM_RT_FS  2028
excs  SFG_WM_RT_FS  4028
excs  M1_GM_RT_FS  2024
excs  M1_WM_RT_FS  4024
excs  TempP_GM_RT_FS  2033
excs  TempP_WM_RT_FS  4033
excs  ITG_GM_RT_FS  2009
excs  AC_midL_MAN  1
excs  Acc_GM_RT_FS  58
excs  Pall_GM_RT_FS  52
excs  Amyg_GM_RT_FS  54
excs  Thal_GM_RT_FS  49
excs  Hippo_GM_RT_FS  53
excs  vDC_RT_FS  60
excs  caudate_RT_FS  50
excs  OptCh_FS  85
excs  SegWM_RT_MPV_custom  1
excs  SegWM_RT_PLIC_custom  1
excs  SegWM_RT_ALIC_custom  1
excs  Ins_supL_wm_RT_custom  1
excs  cMFG_GM_RT_FS  2003
excs  cMFG_WM_RT_FS  4003
excs  IFGpOp_GM_RT_FS  2018
excs  IFGpOp_WM_RT_FS  4018
excs  Fusi4_GMWM_RT_custom  1
excs  TempP_GM_FS_RT  2033
excs  TempP_WM_FS_RT  4033
excs  ITG_GM_FS_RT  2009
excs  ITG_WM_FS_RT  4009
excs  MedOF2_RT_MSBP  8
excs  MedOF3_RT_MSBP  9
