# Bundle: ILF_LT
# type  name  label
incs1  Occ_lobeGM_LT  1004

incs2  ITG1_MSBP_LT  215
incs2  ITG2_MSBP_LT  216
incs2  MTG4_MSBP_LT  222
incs2  TempP_GM_FS_LT  1033
incs2  Fusi4_MSBP_LT  211

excs  CC_allr_custom  1
excs  BStem_FS  16
excs  STG_GM_LT_FS  1030
excs  G_OSup_GM_LT_2009  11120
excs  Phippo_GM_LT_FS  1016
excs  Phippo_WM_LT_FS  3016
excs  Cing_lobeGM_LT  1003
excs  Cing_lobeWM_LT  3003
excs  AC_midL_MAN  1
excs  Hippo_GM_LT_FS  17
excs  vDC_LT_FS  28
excs  OptCh_FS  85
excs  Insula_GM_LT_FS  1035
excs  Insula_WM_LT_FS  3035
excs  Front_lobeGM_LT  1001
excs  Front_lobeWM_LT  3001
excs  Pari_lobeGM_LT  1006
excs  Pari_lobeWM_LT  3006
excs  SegWM_LT_MPV_custom  1
excs  M1_GM_LT_FS  1024
excs  M1_WM_LT_FS  3024
