# Bundle: MdLF_RT
# type  name  label
incs1  SPL_GM_RT_FS  2029
incs1  IPL_GM_RT_FS  2008
incs1  G_OSup_GM_RT_2009  12120
incs1  Cun_GM_RT_FS  2005
incs1  Pc_GM_RT_FS  2025

incs2  STG5_MSBP_RT  104
incs2  STG4_MSBP_RT  103
incs2  STG3_MSBP_RT  102
incs2  Temp_P_GM_RT_FS  2033

excs  CC_allr_custom  1
excs  BStem_FS  16
excs  Phippo_GM_RT_FS  2016
excs  Phippo_WM_RT_FS  4016
excs  Ins_IFOF_exc_RT_custom  1
excs  s3Put_RT_custom  1
excs  Cing_lobeGM_RT  2003
excs  Cing_lobeWM_RT  4003
excs  AC_midL_MAN  1
excs  Hippo_GM_RT_FS  53
excs  vDC_RT_FS  60
excs  OptCh_FS  85
excs  Insula_GM_RT_FS  2035
excs  Insula_WM_RT_FS  4035
excs  Front_lobeGM_RT  2001
excs  Front_lobeWM_RT  4001
excs  Fusi_GM_RT_FS  2007
excs  Fusi_WM_RT_FS  4007
excs  SegWM_RT_LPV_custom  1
excs  ITG_GM_RT_FS  2009
excs  ITG_WM_RT_FS  4009
