# Bundle: PyT_PMC_RT
# type  name  label
incs1  BStem_FS  16

incs2  cMFG_GM_RT_FS  2003

excs  CC_allr_custom  1
excs  BStemr_exc_LT_custom  1
excs  Cing_lobeGM_RT  2003
excs  Cing_lobeWM_RT  4003
excs  RT_ML_X_custom  1
excs  Thal_RT_ero2_custom  1
excs  Temp_lobeGM_RT  2005
excs  Temp_lobeWM_RT  4005
excs  Putamen_RT_FS  51
excs  SFG_GM_RT_FS  2028
excs  SFG_WM_RT_FS  4028
excs  Caudate_GM_RT_FS  50
excs  M1_GM_RT_FS  2024
excs  M1_WM_RT_FS  4024
excs  S1_GM_RT_FS  2022
excs  S1_WM_RT_FS  4022
excs  Occ_lobeGM_RT  2004
excs  Occ_lobeWM_RT  4004
excs  SegWM_RT_PPV_custom  1
excs  rMFG5_MSBP_RT  18
excs  rMFG6_MSBP_RT  19
excs  hypothal_vDC_LT_excr_custom  1
