# Bundle: PyT_SMA_RT
# type  name  label
incs1  BStem_FS  16

incs2  SFG5_RT_MSBP  24
incs2  SFG6_RT_MSBP  25
incs2  SFG7_RT_MSBP  26
incs2  SFG8_RT_MSBP  27

excs  CC_allr_custom  1
excs  BStemr_exc_LT_custom  1
excs  Cing_lobeGM_RT  2003
excs  Cing_lobeWM_RT  4003
excs  RT_ML_X_custom  1
excs  Thal_RT_ero2_custom  1
excs  Temp_lobeGM_RT  2005
excs  Temp_lobeWM_RT  4005
excs  Putamen_GM_RT_FS  51
excs  cMFG_GM_RT_FS  2003
excs  rMFG_GM_RT_FS  2027
excs  Caudate_GM_RT_FS  50
excs  M1_GM_RT_FS  2024
excs  M1_WM_RT_FS  4024
excs  S1_GM_RT_FS  2022
excs  S1_WM_RT_FS  4022
excs  Occ_lobeGM_RT  2004
excs  Occ_lobeWM_RT  4004
excs  SFG1_RT_MSBP  20
excs  SFG2_RT_MSBP  21
excs  SFG3_RT_MSBP  22
excs  SFG4_RT_MSBP  23
excs  hypothal_vDC_LT_excr_custom  1
