# Bundle: PyT_all_LT
# type  name  label
incs1  BStem_FS  16

incs2  M1_GM_LT_FS  1024
incs2  S1_GM_LT_FS  1022
incs2  ParaC_GM_LT_FS  1017
incs2  SFG5_LT_MSBP  148
incs2  SFG6_LT_MSBP  149
incs2  SFG7_LT_MSBP  150
incs2  SFG8_LT_MSBP  151
incs2  cMFG_GM_LT_FS  1003
incs2  SMG_GM_LT_FS  1031
incs2  SPL1_LT_MSBP  178
incs2  SPL2_LT_MSBP  179
incs2  SPL3_LT_MSBP  180
incs2  SPL4_LT_MSBP  181

excs  CC_allr_custom  1
excs  BStemr_exc_RT_custom  1
excs  Cing_lobeGM_LT  1003
excs  Cing_lobeWM_LT  3003
excs  Thal_LT_ero2_custom  1
excs  Temp_lobeGM_LT  1005
excs  Temp_lobeWM_LT  3005
excs  Putamen_GM_LT_FS  12
excs  Caudate_GM_LT_FS  11
excs  rMFG_GM_LT_FS  1027
excs  Occ_lobeGM_LT  1004
excs  Occ_lobeWM_LT  3004
excs  SPL5_LT_MSBP  182
excs  SPL6_LT_MSBP  183
excs  SPL7_LT_MSBP  184
excs  hypothal_vDC_RT_excr_custom  1
