# Bundle: SLF_I_LT
# type  name  label
incs1  SFG6_LT_MSBP  149
incs1  SFG7_LT_MSBP  150
incs1  SFG8_LT_MSBP  151

incs2  SPL2_LT_MSBP  179

excs  SFG1_LT_MSBP  144
excs  SFG2_LT_MSBP  145
excs  SFG3_LT_MSBP  146
excs  SFG4_LT_MSBP  147
excs  SFG5_LT_MSBP  148
excs  S1_GM_LT_FS  1022
excs  S1_WM_LT_FS  3022
excs  CC_allr_custom  1
excs  BStem_FS  16
excs  s3Put_LT_custom  1
excs  Thal_LT_FS  10
excs  Temp_lobeGM_LT  1005
excs  Temp_lobeWM_LT  3005
excs  Phippo_GM_LT_FS  1016
excs  Phippo_WM_LT_FS  3016
excs  Insula_GM_LT_FS  1035
excs  Insula_WM_LT_FS  3035
excs  Cing_lobeGM_LT  1003
excs  Cing_lobeWM_LT  3003
excs  PCC_GM_LT_FS  1023
excs  PCC_WM_LT_FS  3023
excs  cMFG_GM_LT_FS  1003
excs  rMFG_GM_LT_FS  1027
excs  IFGpTr_GM_LT_FS  1020
excs  IFGpOp_GM_LT_FS  1018
excs  IFGpOr_GM_LT_FS  1019
excs  IPL_GM_LT_FS  1008
excs  SMG_GM_LT_FS  1031
excs  M1_GM_LT_FS  1024
excs  SPL3_LT_MSBP  180
excs  SPL4_LT_MSBP  181
excs  SPL5_LT_MSBP  182
excs  SPL6_LT_MSBP  183
