# Bundle: SRF_RT
# type  name  label
incs1  Ling3_MSBP_RT  83
incs1  Fusi2_MSBP_RT  85
incs1  Fusi3_MSBP_RT  86
incs1  Fusi4_GMWM_RT_custom  1

incs2  SPL5_MSBP_RT  58
incs2  Pc4_MSBP_RT  70

excs  CC_allr_custom  1
excs  BStem_FS  16
excs  PHip_GM_FS_RT  2016
excs  PHip_WM_FS_RT  4016
excs  Front_lobeGM_RT  2001
excs  Front_lobeWM_RT  4001
excs  STG_GM_FS_RT  2030
excs  STG_WM_FS_RT  4030
excs  ITG1_MSBP_RT  91
excs  ITG2_MSBP_RT  92
excs  ITG3_MSBP_RT  93
excs  MTG_GM_FS_RT  2015
excs  S1_GM_FS_RT  2022
