# Bundle: TIF_LT
# type  name  label
incs1  Ins1_MSBP_LT  230
incs1  Ins2_MSBP_LT  231
incs1  Ins3_MSBP_LT  232

incs2  Amygdala_LT_FS  18
incs2  TempP_GM_LT_FS  1033
incs2  EntoR_MSBP_LT  213

excs  CC_allr_custom  1
excs  BStem_FS  16
excs  PHipp_GM_LT_FS  1016
excs  PHipp_WM_FS_LT  3016
excs  vDC_FS_LT  28
excs  Fusi_GM_LT_FS  1007
excs  Fusi_WM_LT_FS  3007
excs  e2Put_LT_custom  1
excs  Pall_LT_FS  13
excs  Front_lobeGM_LT  1001
excs  Front_lobeWM_LT  3001
excs  Acc_LT_FS  26
excs  AC_midline_MAN  1
excs  OptCh_FS  85
excs  Pari_lobeGM_LT  1006
excs  Pari_lobeWM_LT  3006
excs  Occ_lobeGM_LT  1004
excs  Occ_lobeWM_LT  3004
excs  STG_GM_LT_FS  1030
excs  STG_WM_LT_FS  3030
