# Bundle: VOFc_RT
# type  name  label
incs1  Cun2_MSBP_RT  73
incs1  SPL7_MSBP_RT  60
incs1  IPL3_MSBP_RT  63

incs2  LOcc5_MSBP_RT  80
incs2  LOcc4_MSBP_RT  79
incs2  Fusi1_MSBP_RT  84

excs  CC_allr_custom  1
excs  BStem_FS  16
excs  PHip_GM_FS_RT  2016
excs  PHip_WM_FS_RT  4016
excs  Front_lobeGM_RT  2001
excs  Front_lobeWM_RT  4001
excs  STG_GM_FS_RT  2030
excs  STG_WM_FS_RT  4030
excs  Pc_GM_FS_RT  2025
excs  ITG1_MSBP_RT  91
excs  ITG2_MSBP_RT  92
excs  ITG3_MSBP_RT  93
excs  MTG_GM_FS_RT  2015
excs  S1_GM_FS_RT  2022
excs  Fusi3_MSBP_RT  86
excs  Fusi4_GMWM_RT_custom  1
