# Bundle: CC_SMAL_2contM1RT_Comm
# type  name  label  atlas
incs1  CC_mid_FS  253  FS_aparc
incs1  CC_isth_FS  252  FS_aparc

incs2  M1_GM_FS_ctx_RT  2024  FS_aparc

incs3  SFG5_ctx_LT_MSBP  148  Lausanne3
incs3  SFG6_ctx_LT_MSBP  149  Lausanne3
incs3  SFG7_ctx_LT_MSBP  150  Lausanne3
incs3  SFG8_ctx_LT_MSBP  151  Lausanne3

excs  AC_MAN  1  MAN
excs  PC_MAN  2  MAN
excs  CC_genu_FS  255  FS_aparc
excs  CC_ant_FS  254  FS_aparc
excs  CC_splen_FS  251  FS_aparc
excs  Fornix_Fx  250  FS_fornix
excs  BStem_FS  16  FS_aparc
excs  Cing_lobeGM_ctx_LT  1003  FS_lobes
excs  Cing_lobeGM_ctx_RT  2003  FS_lobes
excs  SegWM_LT_ALIC_custom  1  custom
excs  SegWM_RT_ALIC_custom  1  custom
excs  vDC_FS_LT  28  FS_aparc
excs  vDC_FS_RT  60  FS_aparc
