# Bundle: IFOF_LT
# type  name  label  atlas
incs1  SPL_GM_ctx_LT_FS  1029  FS_aparc
incs1  IPL_GM_ctx_LT_FS  1008  FS_aparc
incs1  Occ_lobeGM_ctx_LT  1004  FS_lobes
incs1  Pc_GM_ctx_LT_FS  1025  FS_aparc
incs1  Fusi1_ctx_LT_MSBP  208  Lausanne3
incs1  Fusi2_ctx_LT_MSBP  209  Lausanne3

incs2  rMFG5_ctx_LT_MSBP  142  Lausanne3
incs2  rMFG6_ctx_LT_MSBP  143  Lausanne3
incs2  FP_GM_ctx_LT_FS  1032  FS_aparc
incs2  IFGpTr_GM_ctx_LT_FS  1020  FS_aparc
incs2  MedOF1_ctx_LT_MSBP  131  Lausanne3
incs2  LatOF_GM_ctx_LT_FS  1012  FS_aparc

excs  CC_allr_custom  1  custom
excs  BStem_FS  16  FS_aparc
excs  STG5_GMWM_LT_custom  1  custom
excs  e2Put_LT_custom  1  custom
excs  Phippo_GM_ctx_LT_FS  1016  FS_aparc
excs  Phippo_WM_LT_FS  3016  FS_wmparc
excs  Cing_lobeGM_ctx_LT  1003  FS_lobes
excs  Cing_lobeWM_LT  3003  FS_lobes
excs  SFG_GM_ctx_LT_FS  1028  FS_aparc
excs  SFG_WM_LT_FS  3028  FS_wmparc
excs  M1_GM_ctx_LT_FS  1024  FS_aparc
excs  M1_WM_LT_FS  3024  FS_wmparc
excs  TempP_GM_ctx_LT_FS  1033  FS_aparc
excs  TempP_WM_LT_FS  3033  FS_wmparc
excs  ITG_GM_ctx_LT_FS  1009  FS_aparc
excs  AC_midL_MAN  1  MAN
excs  Acc_GM_LT_FS  26  FS_aparc
excs  Pall_GM_LT_FS  13  FS_aparc
excs  Amyg_GM_LT_FS  18  FS_aparc
excs  Thal_GM_LT_FS  10  FS_aparc
excs  Hippo_GM_LT_FS  17  FS_aparc
excs  vDC_LT_FS  28  FS_aparc
excs  caudate_LT_FS  11  FS_aparc
excs  OptCh_FS  85  FS_aparc
excs  SegWM_LT_MPV_custom  1  custom
excs  SegWM_LT_PLIC_custom  1  custom
excs  SegWM_LT_ALIC_custom  1  custom
excs  Ins_supL_wm_LT_custom  1  custom
excs  cMFG_GM_ctx_LT_FS  1003  FS_aparc
excs  cMFG_WM_LT_FS  3003  FS_wmparc
excs  IFGpOp_GM_ctx_LT_FS  1018  FS_aparc
excs  IFGpOp_WM_LT_FS  3018  FS_wmparc
excs  Fusi4_GMWM_LT_custom  1  custom
excs  TempP_GM_FS_ctx_LT  1033  FS_aparc
excs  TempP_WM_FS_LT  3033  FS_wmparc
excs  ITG_GM_FS_ctx_LT  1009  FS_aparc
excs  ITG_WM_FS_LT  3009  FS_wmparc
excs  MedOF2_ctx_LT_MSBP  132  Lausanne3
excs  MedOF3_ctx_LT_MSBP  133  Lausanne3
