# Bundle: IFOF_RT
# type  name  label  atlas
incs1  SPL_GM_ctx_RT_FS  2029  FS_aparc
incs1  IPL_GM_ctx_RT_FS  2008  FS_aparc
incs1  Occ_lobeGM_ctx_RT  2004  FS_lobes
incs1  Pc_GM_ctx_RT_FS  2025  FS_aparc
incs1  Fusi1_ctx_RT_MSBP  84  Lausanne3
incs1  Fusi2_ctx_RT_MSBP  85  Lausanne3

incs2  rMFG5_ctx_RT_MSBP  18  Lausanne3
incs2  rMFG6_ctx_RT_MSBP  19  Lausanne3
incs2  FP_GM_ctx_RT_FS  2032  FS_aparc
incs2  IFGpTr_GM_ctx_RT_FS  2020  FS_aparc
incs2  MedOF1_ctx_RT_MSBP  7  Lausanne3
incs2  LatOF_GM_ctx_RT_FS  2012  FS_aparc

excs  CC_allr_custom  1  custom
excs  BStem_FS  16  FS_aparc
excs  STG5_GMWM_RT_custom  1  custom
excs  e2Put_RT_custom  1  custom
excs  Phippo_GM_ctx_RT_FS  2016  FS_aparc
excs  Phippo_WM_RT_FS  4016  FS_wmparc
excs  Cing_lobeGM_ctx_RT  2003  FS_lobes
excs  Cing_lobeWM_RT  4003  FS_lobes
excs  SFG_GM_ctx_RT_FS  2028  FS_aparc
excs  SFG_WM_RT_FS  4028  FS_wmparc
excs  M1_GM_ctx_RT_FS  2024  FS_aparc
excs  M1_WM_RT_FS  4024  FS_wmparc
excs  TempP_GM_ctx_RT_FS  2033  FS_aparc
excs  TempP_WM_RT_FS  4033  FS_wmparc
excs  ITG_GM_ctx_RT_FS  2009  FS_aparc
excs  AC_midL_MAN  1  MAN
excs  Acc_GM_RT_FS  58  FS_aparc
excs  Pall_GM_RT_FS  52  FS_aparc
excs  Amyg_GM_RT_FS  54  FS_aparc
excs  Thal_GM_RT_FS  49  FS_aparc
excs  Hippo_GM_RT_FS  53  FS_aparc
excs  vDC_RT_FS  60  FS_aparc
excs  caudate_RT_FS  50  FS_aparc
excs  OptCh_FS  85  FS_aparc
excs  SegWM_RT_MPV_custom  1  custom
excs  SegWM_RT_PLIC_custom  1  custom
excs  SegWM_RT_ALIC_custom  1  custom
excs  Ins_supL_wm_RT_custom  1  custom
excs  cMFG_GM_ctx_RT_FS  2003  FS_aparc
excs  cMFG_WM_RT_FS  4003  FS_wmparc
excs  IFGpOp_GM_ctx_RT_FS  2018  FS_aparc
excs  IFGpOp_WM_RT_FS  4018  FS_wmparc
excs  Fusi4_GMWM_RT_custom  1  custom
excs  TempP_GM_FS_ctx_RT  2033  FS_aparc
excs  TempP_WM_FS_RT  4033  FS_wmparc
excs  ITG_GM_FS_ctx_RT  2009  FS_aparc
excs  ITG_WM_FS_RT  4009  FS_wmparc
excs  MedOF2_ctx_RT_MSBP  8  Lausanne3
excs  MedOF3_ctx_RT_MSBP  9  Lausanne3
