# Bundle: IPLFus_RT
# type  name  label  atlas
incs1  IPL1_MSBP_ctx_RT  61  Lausanne3
incs1  IPL2_MSBP_ctx_RT  62  Lausanne3
incs1  IPL3_MSBP_ctx_RT  63  Lausanne3
incs1  IPL4_MSBP_ctx_RT  64  Lausanne3

incs2  ITG4_MSBP_ctx_RT  94  Lausanne3
incs2  Fusi1_MSBP_ctx_RT  84  Lausanne3
incs2  Fusi2_MSBP_ctx_RT  85  Lausanne3

excs  CC_allr_custom  1  custom
excs  BStem_FS  16  FS_aparc
excs  PHip_GM_FS_ctx_RT  2016  FS_aparc
excs  PHip_WM_FS_RT  4016  FS_wmparc
excs  Front_lobeGM_ctx_RT  2001  FS_lobes
excs  Front_lobeWM_RT  4001  FS_lobes
excs  STG_GM_FS_ctx_RT  2030  FS_aparc
excs  STG_WM_FS_RT  4030  FS_wmparc
excs  Cune_GM_FS_ctx_RT  2005  FS_aparc
excs  Cune_WM_FS_RT  4005  FS_wmparc
excs  Pc_GM_FS_ctx_RT  2025  FS_aparc
excs  SPL_GM_FS_ctx_RT  2029  FS_aparc
excs  ITG1_MSBP_ctx_RT  91  Lausanne3
excs  ITG2_MSBP_ctx_RT  92  Lausanne3
excs  ITG3_MSBP_ctx_RT  93  Lausanne3
excs  MTG_GM_FS_ctx_RT  2015  FS_aparc
excs  S1_GM_FS_ctx_RT  2022  FS_aparc
