# Bundle: PyT_PMC_RT
# type  name  label  atlas
incs1  BStem_FS  16  FS_aparc

incs2  cMFG_GM_ctx_RT_FS  2003  FS_aparc

excs  CC_allr_custom  1  custom
excs  BStemr_exc_LT_custom  1  custom
excs  Cing_lobeGM_ctx_RT  2003  FS_lobes
excs  Cing_lobeWM_RT  4003  FS_lobes
excs  RT_ML_X_custom  1  custom
excs  Thal_RT_ero2_custom  1  custom
excs  Temp_lobeGM_ctx_RT  2005  FS_lobes
excs  Temp_lobeWM_RT  4005  FS_lobes
excs  Putamen_RT_FS  51  FS_aparc
excs  SFG_GM_ctx_RT_FS  2028  FS_aparc
excs  SFG_WM_RT_FS  4028  FS_wmparc
excs  Caudate_GM_RT_FS  50  FS_aparc
excs  M1_GM_ctx_RT_FS  2024  FS_aparc
excs  M1_WM_RT_FS  4024  FS_wmparc
excs  S1_GM_ctx_RT_FS  2022  FS_aparc
excs  S1_WM_RT_FS  4022  FS_wmparc
excs  Occ_lobeGM_ctx_RT  2004  FS_lobes
excs  Occ_lobeWM_RT  4004  FS_lobes
excs  SegWM_RT_PPV_custom  1  custom
excs  rMFG5_MSBP_ctx_RT  18  Lausanne3
excs  rMFG6_MSBP_ctx_RT  19  Lausanne3
excs  hypothal_vDC_LT_excr_custom  1  custom
