# Bundle: PyT_all_LT
# type  name  label  atlas
incs1  BStem_FS  16  FS_aparc

incs2  M1_GM_ctx_LT_FS  1024  FS_aparc
incs2  S1_GM_ctx_LT_FS  1022  FS_aparc
incs2  ParaC_GM_ctx_LT_FS  1017  FS_aparc
incs2  SFG5_ctx_LT_MSBP  148  Lausanne3
incs2  SFG6_ctx_LT_MSBP  149  Lausanne3
incs2  SFG7_ctx_LT_MSBP  150  Lausanne3
incs2  SFG8_ctx_LT_MSBP  151  Lausanne3
incs2  cMFG_GM_ctx_LT_FS  1003  FS_aparc
incs2  SMG_GM_ctx_LT_FS  1031  FS_aparc
incs2  SPL1_ctx_LT_MSBP  178  Lausanne3
incs2  SPL2_ctx_LT_MSBP  179  Lausanne3
incs2  SPL3_ctx_LT_MSBP  180  Lausanne3
incs2  SPL4_ctx_LT_MSBP  181  Lausanne3

excs  CC_allr_custom  1  custom
excs  BStemr_exc_RT_custom  1  custom
excs  Cing_lobeGM_ctx_LT  1003  FS_lobes
excs  Cing_lobeWM_LT  3003  FS_lobes
excs  Thal_LT_ero2_custom  1  custom
excs  Temp_lobeGM_ctx_LT  1005  FS_lobes
excs  Temp_lobeWM_LT  3005  FS_lobes
excs  Putamen_GM_LT_FS  12  FS_aparc
excs  Caudate_GM_LT_FS  11  FS_aparc
excs  rMFG_GM_ctx_LT_FS  1027  FS_aparc
excs  Occ_lobeGM_ctx_LT  1004  FS_lobes
excs  Occ_lobeWM_LT  3004  FS_lobes
excs  SPL5_ctx_LT_MSBP  182  Lausanne3
excs  SPL6_ctx_LT_MSBP  183  Lausanne3
excs  SPL7_ctx_LT_MSBP  184  Lausanne3
excs  hypothal_vDC_RT_excr_custom  1  custom
