# Bundle: PyT_all_RT
# type  name  label  atlas
incs1  BStem_FS  16  FS_aparc

incs2  M1_GM_ctx_RT_FS  2024  FS_aparc
incs2  S1_GM_ctx_RT_FS  2022  FS_aparc
incs2  ParaC_GM_ctx_RT_FS  2017  FS_aparc
incs2  SFG5_ctx_RT_MSBP  24  Lausanne3
incs2  SFG6_ctx_RT_MSBP  25  Lausanne3
incs2  SFG7_ctx_RT_MSBP  26  Lausanne3
incs2  SFG8_ctx_RT_MSBP  27  Lausanne3
incs2  cMFG_GM_ctx_RT_FS  2003  FS_aparc
incs2  SMG_GM_ctx_RT_FS  2031  FS_aparc
incs2  SPL1_ctx_RT_MSBP  54  Lausanne3
incs2  SPL2_ctx_RT_MSBP  55  Lausanne3
incs2  SPL3_ctx_RT_MSBP  56  Lausanne3
incs2  SPL4_ctx_RT_MSBP  57  Lausanne3

excs  CC_allr_custom  1  custom
excs  BStemr_exc_LT_custom  1  custom
excs  Cing_lobeGM_ctx_RT  2003  FS_lobes
excs  Cing_lobeWM_RT  4003  FS_lobes
excs  Thal_RT_ero2_custom  1  custom
excs  Temp_lobeGM_ctx_RT  2005  FS_lobes
excs  Temp_lobeWM_RT  4005  FS_lobes
excs  Putamen_GM_RT_FS  51  FS_aparc
excs  Caudate_GM_RT_FS  50  FS_aparc
excs  rMFG_GM_ctx_RT_FS  2027  FS_aparc
excs  Occ_lobeGM_ctx_RT  2004  FS_lobes
excs  Occ_lobeWM_RT  4004  FS_lobes
excs  SPL5_ctx_RT_MSBP  58  Lausanne3
excs  SPL6_ctx_RT_MSBP  59  Lausanne3
excs  SPL7_ctx_RT_MSBP  60  Lausanne3
excs  hypothal_vDC_LT_excr_custom  1  custom
