# Bundle: VOFc_LT
# type  name  label  atlas
incs1  Cun2_MSBP_ctx_LT  197  Lausanne3
incs1  SPL7_MSBP_ctx_LT  184  Lausanne3
incs1  IPL3_MSBP_ctx_LT  187  Lausanne3

incs2  LOcc5_MSBP_ctx_LT  204  Lausanne3
incs2  LOcc4_MSBP_ctx_LT  203  Lausanne3
incs2  Fusi1_MSBP_ctx_LT  208  Lausanne3

excs  CC_allr_custom  1  custom
excs  BStem_FS  16  FS_aparc
excs  PHip_GM_FS_ctx_LT  1016  FS_aparc
excs  PHip_WM_FS_LT  3016  FS_wmparc
excs  Front_lobeGM_ctx_LT  1001  FS_lobes
excs  Front_lobeWM_LT  3001  FS_lobes
excs  STG_GM_FS_ctx_LT  1030  FS_aparc
excs  STG_WM_FS_LT  3030  FS_wmparc
excs  Pc_GM_FS_ctx_LT  1025  FS_aparc
excs  ITG1_MSBP_ctx_LT  215  Lausanne3
excs  ITG2_MSBP_ctx_LT  216  Lausanne3
excs  ITG3_MSBP_ctx_LT  217  Lausanne3
excs  MTG_GM_FS_ctx_LT  1015  FS_aparc
excs  S1_GM_FS_ctx_LT  1022  FS_aparc
excs  Fusi3_MSBP_ctx_LT  210  Lausanne3
excs  Fusi4_GMWM_LT_custom  1  custom
