# Bundle: VOFc_RT
# type  name  label  atlas
incs1  Cun2_MSBP_ctx_RT  73  Lausanne3
incs1  SPL7_MSBP_ctx_RT  60  Lausanne3
incs1  IPL3_MSBP_ctx_RT  63  Lausanne3

incs2  LOcc5_MSBP_ctx_RT  80  Lausanne3
incs2  LOcc4_MSBP_ctx_RT  79  Lausanne3
incs2  Fusi1_MSBP_ctx_RT  84  Lausanne3

excs  CC_allr_custom  1  custom
excs  BStem_FS  16  FS_aparc
excs  PHip_GM_FS_ctx_RT  2016  FS_aparc
excs  PHip_WM_FS_RT  4016  FS_wmparc
excs  Front_lobeGM_ctx_RT  2001  FS_lobes
excs  Front_lobeWM_RT  4001  FS_lobes
excs  STG_GM_FS_ctx_RT  2030  FS_aparc
excs  STG_WM_FS_RT  4030  FS_wmparc
excs  Pc_GM_FS_ctx_RT  2025  FS_aparc
excs  ITG1_MSBP_ctx_RT  91  Lausanne3
excs  ITG2_MSBP_ctx_RT  92  Lausanne3
excs  ITG3_MSBP_ctx_RT  93  Lausanne3
excs  MTG_GM_FS_ctx_RT  2015  FS_aparc
excs  S1_GM_FS_ctx_RT  2022  FS_aparc
excs  Fusi3_MSBP_ctx_RT  86  Lausanne3
excs  Fusi4_GMWM_RT_custom  1  custom
